fund,base_ann_return,tilt_ann_return,base_sharpe,tilt_sharpe,base_max_dd,tilt_max_dd,delta_sharpe
equity_equal_weight,0.1408,0.1349,0.8152,0.7839,-0.2032,-0.1993,-0.0313
equity_min_variance,0.0491,0.0426,0.3813,0.3312,-0.1509,-0.1544,-0.0501
equity_max_sharpe,0.1233,0.133,0.6104,0.6454,-0.2582,-0.2491,0.035
equity_risk_parity,0.1118,0.1058,0.7234,0.6868,-0.1856,-0.1831,-0.0366
combined_equal_weight,0.1705,0.1655,0.7412,0.7291,-0.2875,-0.2767,-0.0121
combined_min_variance,0.0509,0.0451,0.3933,0.3494,-0.1561,-0.1589,-0.0439
combined_max_sharpe,0.3348,0.3442,1.0423,1.0728,-0.261,-0.2501,0.0305
combined_risk_parity,0.1467,0.1404,0.8553,0.8248,-0.1989,-0.1962,-0.0305
