,equity_equal_weight__base,equity_equal_weight__tilt,equity_min_variance__base,equity_min_variance__tilt,equity_max_sharpe__base,equity_max_sharpe__tilt,equity_risk_parity__base,equity_risk_parity__tilt,combined_equal_weight__base,combined_equal_weight__tilt,combined_min_variance__base,combined_min_variance__tilt,combined_max_sharpe__base,combined_max_sharpe__tilt,combined_risk_parity__base,combined_risk_parity__tilt
2020-12-31,,,,,,,,,-0.011734631048652775,-0.011734631048652775,0.0016054924524870656,0.0016054924524870656,-0.0002570361818874505,-0.0002570361818874505,-0.011442011112451696,-0.011442011112451696
2021-01-04,-0.014701064199660194,-0.014572042717873605,-0.007194914609721894,-0.005279066151521119,-0.01478353237260165,-0.013813324799408496,-0.014453171945196935,-0.014050867300685038,-0.005557421460846824,-0.006883248229861933,-0.004659655726745145,-0.0029796509047528633,0.0061579153391777604,0.006050313122363262,-0.008907310180526823,-0.009489228905187183
2021-01-05,0.012674408604811125,0.011919000461164043,-0.0010629940585023118,-0.0016613152604322838,0.011027279802643996,0.011757342962501915,0.008939421462187817,0.008292131601111839,0.01812037653999204,0.016701865667623814,-0.00010034557877026914,-0.0007775241106671503,0.0618435639948187,0.06086396798879642,0.01269854335561247,0.011498672882858448
2021-01-06,0.013264430714510802,0.012762059043620806,0.0004377465288468616,0.0010077412572028022,-0.02423074010092818,-0.025914554588396525,0.010643394034967432,0.010356194722140628,0.040182477161079845,0.03594024999908125,0.002202668540911057,0.002861267908649767,0.10400830972512314,0.10001968272033218,0.02729707604770869,0.024390442387778443
2021-01-07,0.009679796812702828,0.008949284663446319,0.008049290823998283,0.00645473470017851,0.034075631234092546,0.03541262893707435,0.008534463071311255,0.007758209393563528,0.010143704534638191,0.009452012110703813,0.007603676318120618,0.006165317793549068,0.048911836440885786,0.049118065971543626,0.00918624092308689,0.008386064349572106
2021-01-08,0.00286576936205043,0.0030039188195504635,0.0020449293408079093,0.0019377613721121582,0.006458352608304565,0.00576439110539807,0.0035526447096971107,0.003644907117162736,0.001220860711885404,0.0015721728522843348,0.0002873772943139026,0.0004240340162815911,0.01949750117788211,0.01890218316141009,0.002369595035269458,0.0026165882123769767
2021-01-11,-8.806647741709266e-05,0.00010361759513454507,0.004521418752779453,0.004615505424181978,-0.001718907812575931,-7.932059784509712e-05,-0.000819200932939386,-0.000500966187601418,-0.02152422578249631,-0.01832449960537081,0.002308785983954735,0.0028760176909021266,-0.0658793812502739,-0.06364174720909627,-0.014784533220389934,-0.01224548309177802
2021-01-12,0.003012843574414887,0.002424470857868755,-0.0026103495243498037,-0.0014380644306213593,-0.024664668210248836,-0.023698397544128197,-0.0004105862889272352,-0.0006581117401662393,-0.0006109898860971223,-0.0006020339268100272,-0.0014990154973146823,-0.00044916601989167677,-0.03563253393803775,-0.03501591693979204,-0.002608411417219328,-0.0024611977279015173
2021-01-13,8.709165777319482e-05,5.12067431482477e-05,-0.004095897089568319,-0.004309624122593709,0.0009543208904150045,0.0010555184058965881,0.000753957277248363,0.0006227028729081622,0.013803567861465397,0.011830496384838492,-0.0036853354912541585,-0.003921943285933259,0.07894174466534408,0.07708363267839348,0.009589172132419626,0.008029740289818602
2021-01-14,0.003088648294878564,0.0023335968489124298,0.0001731088667268169,-0.0009665500082680796,-0.02162848472747625,-0.02123435778789496,0.0013257876211578872,0.0006885160379499137,0.005860779073975743,0.004821202355296877,0.0015683266546721259,0.0005721119243997081,0.03758331278735965,0.03605750617350572,0.0037001150226080594,0.0027806473469930123
