,equity_equal_weight,equity_min_variance,equity_max_sharpe,equity_risk_parity,crypto_equal_weight,crypto_min_variance,crypto_max_sharpe,crypto_risk_parity,combined_equal_weight,combined_min_variance,combined_max_sharpe,combined_risk_parity
2020-09-10,,,,,0.01798213692711367,0.012476400247723618,0.028841313748371497,0.017812847652447908,,,,
2020-09-11,,,,,0.0068067435248405864,0.0019431246527441743,0.010632931466646699,0.006915698115948967,,,,
2020-09-12,,,,,0.011090582583458797,0.009350049069068904,0.012865345592473956,0.011270959516066933,,,,
2020-09-13,,,,,-0.039131846641066184,-0.016099048240286115,-0.04917166921481607,-0.03815343615749425,,,,
2020-09-14,,,,,0.017654624231320484,0.028744484862164014,0.020557500829473115,0.01812681716410827,,,,
2020-09-15,,,,,-0.015605700937015576,0.0031653741105188843,-0.0439752469528662,-0.01488585823620842,,,,
2020-09-16,,,,,-0.0041022401119938726,0.016448520891891756,-0.015701693332284793,-0.0023644542543665185,,,,
2020-09-17,,,,,0.021438464804721127,0.004966460460607846,0.051588408176703265,0.020435475997455106,,,,
2020-09-18,,,,,-0.005838497929824605,-0.0024252597216102506,-0.008812794175066689,-0.005861857930545375,,,,
2020-09-19,,,,,-7.131241537610078e-05,0.010126877181651464,-0.006046105595529568,0.0006237172762205028,,,,
2020-09-20,,,,,-0.02487133959672372,-0.016162591066796878,-0.031613316102165966,-0.024364096677203077,,,,
2020-09-21,,,,,-0.06832505032234804,-0.04928923174064816,-0.08456212811390525,-0.06748014133788391,,,,
2020-09-22,,,,,0.01577107434143097,0.0066302440389006505,0.009368451638658732,0.015267697120655253,,,,
2020-09-23,,,,,-0.04339267405569574,-0.036761316241693924,-0.052912228749270616,-0.0432522382985927,,,,
2020-09-24,,,,,0.05168941928065285,0.05113374599710183,0.07780028328170177,0.051526145911387544,,,,
2020-09-25,,,,,0.03294130092428595,0.01030151350456955,0.0654956800180712,0.031258182306831986,,,,
2020-09-26,,,,,0.011785647065008889,0.00378957258861114,0.0009755388485248692,0.010918527768624732,,,,
2020-09-27,,,,,0.00820057478926244,0.002347190335321865,0.01651674282385108,0.007174146873379083,,,,
2020-09-28,,,,,-0.006891153636051518,-0.0052018152185897,-0.007173649239382936,-0.00674023482856481,,,,
2020-09-29,,,,,0.007641373513825068,0.009965154062078777,0.0076382189411755225,0.00782293829314976,,,,
2020-09-30,,,,,-0.0014347919521085386,-0.005613420042043082,-0.002077001046518593,-0.0014285000920191608,,,,
2020-10-01,,,,,-0.015215988184475627,-0.01508865781833039,-0.024645565771574063,-0.014980719234849638,,,,
2020-10-02,,,,,-0.021891144641811848,-0.009342315617765013,-0.03286889697528538,-0.02124625283082719,,,,
2020-10-03,,,,,0.004360856473343322,-0.0035162581489969163,0.002728796698329433,0.003723024725133135,,,,
2020-10-04,,,,,0.01790188760050092,0.03196139203848359,0.02342949758184777,0.01898977766262451,,,,
2020-10-05,,,,,0.003591528393123089,0.012011774651573503,0.007538236813843751,0.0038664851265914246,,,,
2020-10-06,,,,,-0.009626353837821833,-0.019217471330344002,-0.04200314522329915,-0.00930259141460407,,,,
2020-10-07,,,,,0.0024881630094607645,0.008839948916848969,0.0062319952211728515,0.002758585991518901,,,,
2020-10-08,,,,,0.015037245037404369,0.018610491495096346,0.02572316775309131,0.014950923572977969,,,,
2020-10-09,,,,,0.023432526373623766,0.011439394930190881,0.049850938645277704,0.022278345252899408,,,,
2020-10-10,,,,,0.01344768307528349,0.01390553155544408,0.021412170764543874,0.013409748839906671,,,,
2020-10-11,,,,,0.01185566818473901,0.006920709116420752,0.012598807822608775,0.01166681940901567,,,,
2020-10-12,,,,,0.011390327435422478,0.010206616563923543,0.03324095852262555,0.010781693858067189,,,,
2020-10-13,,,,,-0.004764471088864998,-0.006955766229822967,-0.014253590057745024,-0.004911101602825296,,,,
2020-10-14,,,,,-0.005807592202763257,-0.01043384032715216,-0.008663824150704269,-0.006226027679621777,,,,
2020-10-15,,,,,-0.0048135694737722725,-0.0020917734887699623,-0.005718018056593984,-0.004696267974031873,,,,
2020-10-16,,,,,-0.018634310332511863,-0.017953666761259424,-0.027318326005177484,-0.01800844994957113,,,,
2020-10-17,,,,,0.004269494322044054,0.0027229214135491,0.012478691010885438,0.004157793304138859,,,,
2020-10-18,,,,,0.007325791861006193,0.008787141491475796,0.019706206243433253,0.007071087705878821,,,,
2020-10-19,,,,,0.01499738070744435,0.019717745846103835,0.007732927896364381,0.01574108568157457,,,,
2020-10-20,,,,,-0.022213425468937426,0.00511335960209486,-0.04057497062558563,-0.020794671161827646,,,,
2020-10-21,,,,,0.054879308116212576,0.05906044555548719,0.05117420857191958,0.055605150627388814,,,,
2020-10-22,,,,,0.02784915510130621,0.014870239466034215,0.04916855438324831,0.026975201553697748,,,,
2020-10-23,,,,,-0.007714060513975308,-0.004573841835040366,-0.015157785912817199,-0.007293160874479174,,,,
2020-10-24,,,,,0.01576710172702136,0.010655422879389562,0.0037323140834084685,0.016027055839860273,,,,
2020-10-25,,,,,-0.008168543358127035,-0.008513209284604476,-0.015479904931553698,-0.00817777934839523,,,,
2020-10-26,,,,,-0.022532438611657046,-0.005036254647223001,-0.030456427927854503,-0.02175657115274656,,,,
2020-10-27,,,,,0.015420105915731465,0.03344728018197523,0.01359170660908181,0.016498457886790056,,,,
2020-10-28,,,,,-0.023111708865827422,-0.02795331751879624,-0.03775366315801991,-0.023453387044888425,,,,
2020-10-29,,,,,-0.008184334694409667,0.0018290122617065111,-0.018361838146483508,-0.007478408818272601,,,,
2020-10-30,,,,,-0.018665028500040506,-0.00020386271611562423,-0.014777074431419446,-0.017662204006762414,,,,
2020-10-31,,,,,0.008407130841797849,0.011379838658604476,0.004214110881256852,0.00884332248751176,,,,
2020-11-01,,,,,0.009479899135041459,-0.001723289147025232,0.03337268301477114,0.00816203932487263,,,,
2020-11-02,,,,,-0.03653268886625193,-0.01580475515970663,-0.043268933337845795,-0.03512657173090698,,,,
2020-11-03,,,,,-0.0032994927041297695,0.023729007251299047,0.01705033457504079,-0.002424258956299548,,,,
2020-11-04,,,,,0.004323697240461589,0.0034778005669831233,0.023132699080955797,0.003967196941396783,,,,
2020-11-05,,,,,0.04879115808716291,0.06959845945663565,0.04023578284203797,0.050562370807830964,,,,
2020-11-06,,,,,0.05615329796816908,0.024063810841111005,0.08863520584863444,0.05360916199395143,,,,
2020-11-07,,,,,-0.043483015895242116,-0.04097026736898752,-0.057970698584654555,-0.04305248378194603,,,,
2020-11-08,,,,,0.033233010250257426,0.031124264729831846,0.047097208806682576,0.03277543387831563,,,,
2020-11-09,,,,,-0.019588407856058886,-0.010965887044614975,-0.013671904092711379,-0.019326727890840355,,,,
2020-11-10,,,,,0.0004896625641006124,0.004588206086622504,0.00481698949766473,0.0005754201713900522,,,,
2020-11-11,,,,,0.010143437677480173,0.018467840386113293,0.014470404615341482,0.010579287195502841,,,,
2020-11-12,,,,,0.0005386886858012807,0.01667299449089059,0.0005528508940687215,0.0014912810205046758,,,,
2020-11-13,,,,,0.028636976284083973,0.02054451410921888,0.01717856256025376,0.028763716397120033,,,,
2020-11-14,,,,,-0.015612969029313563,-0.002363029616265236,-0.021816666878178494,-0.014954987529608306,,,,
2020-11-15,,,,,-0.016525656529147482,-0.001365002063383974,-0.02662930077916789,-0.015588599003983213,,,,
2020-11-16,,,,,0.046549892129067176,0.053005361056235836,0.03592971040786622,0.047673129800050194,,,,
2020-11-17,,,,,0.05204232760453974,0.05728501677686208,0.05185270242531939,0.052592542640578104,,,,
2020-11-18,,,,,-0.009936278849795133,-0.008173369354157384,-0.013365512136411597,-0.009758362428731918,,,,
2020-11-19,,,,,0.005675267946849406,0.015823978533182185,-0.006520904678842587,0.00700928302897605,,,,
2020-11-20,,,,,0.05302752846407591,0.061731482327336204,0.09093636279558368,0.05240163687514817,,,,
2020-11-21,,,,,0.14395623030867744,0.189587829776488,0.08386943684836756,0.14653162155026883,,,,
2020-11-22,,,,,-0.02676237164833182,-0.022859139457355217,0.046239773685843484,-0.02857468675183112,,,,
2020-11-23,,,,,0.12948090591086447,0.1824880241739192,0.053623250421657165,0.13357132319894302,,,,
2020-11-24,,,,,0.1091031730000655,0.08177236456361528,0.05062613755181732,0.1095343606781762,,,,
2020-11-25,,,,,-0.05342953924272913,-0.04923102074650131,-0.052922585284223236,-0.052857685536578436,,,,
2020-11-26,,,,,-0.12392013507113164,-0.12098505687193191,-0.09859934840170115,-0.12440202366015192,,,,
2020-11-27,,,,,0.023913509429615957,0.022148371968437837,0.009021885000212405,0.024597343922178334,,,,
2020-11-28,,,,,0.05253747523602772,0.07512330225341202,0.10515817971031043,0.05174080540309316,,,,
2020-11-29,,,,,0.019677655309619617,-0.0011323216897751332,0.02930828573976387,0.018717013893825653,,,,
2020-11-30,,,,,0.07097510416991822,0.08736130653667777,0.05012560966213355,0.07244337044124595,,,,
2020-12-01,,,,,-0.06797176128702298,-0.052041913421044396,-0.05336308338180356,-0.06608084952330474,,,,
2020-12-02,,,,,0.02107460233857528,0.019207982419962213,0.019316395628020892,0.021352231626746293,,,,
2020-12-03,,,,,0.015067967051520883,0.020341810001032887,0.023643453189217574,0.015769612990325407,,,,
2020-12-04,,,,,-0.08152350861517088,-0.0496306335286197,-0.06413726561232051,-0.07799652047855263,,,,
2020-12-05,,,,,0.044238282876390825,0.02693637466703634,0.04342360888293896,0.042281657198542,,,,
2020-12-06,,,,,0.00936906866071846,0.006233826860738412,0.006598994899791274,0.00818460985561216,,,,
2020-12-07,,,,,-0.015699276533872188,-0.006920073470460773,-0.015594344683312378,-0.014086394015454362,,,,
2020-12-08,,,,,-0.07034257497418472,-0.049375620670047735,-0.05976840915176017,-0.0678997028515579,,,,
